#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
746990	9188	6651	114625	112534	-	HSPC310	DDX21	SON	GUA|GURDB|RH-II/GU|RH-II/GuA	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.956	-	Denoised score >= 0.75	-	BIOGRID	Q9NR30	-	NP_004719|NP_001243839	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747181	10713	6651	115939	112534	CGI-21	HSPC310	USP39	SON	65K|HSPC332|SAD1|SNRNP65	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.939	-	Denoised score >= 0.75	-	BIOGRID	Q53GS9	A0A087X1B2|B3KPG7|B7Z7L9|B3KMG1	NP_001243654|NP_001243655|NP_006581|NP_001243657|NP_001243656	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747186	6294	6651	112201	112534	-	HSPC310	SAFB	SON	HAP|HET|SAF-B1|SAFB1	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.939	-	Denoised score >= 0.75	-	BIOGRID	Q15424	-	NP_001188267|NP_001307501|NP_001307500|NP_001188269|NP_001188268|NP_002958	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747296	4841	6651	110904	112534	-	HSPC310	NONO	SON	NMT55|NRB54|P54|P54NRB|PPP1R114	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.931	-	Denoised score >= 0.75	-	BIOGRID	Q15233	-	NP_001138882|NP_001138880|NP_001138881|NP_031389	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747497	1660	6651	108025	112534	-	HSPC310	DHX9	SON	DDX9|LKP|NDH2|NDHII|RHA	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.918	-	Denoised score >= 0.75	-	BIOGRID	Q08211	B3KU66	NP_001348	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747526	4809	6651	110874	112534	CTA-216E10.8	HSPC310	NHP2L1	SON	15.5K|FA-1|FA1|NHPX|OTK27|SNRNP15-5|SNU13|SPAG12|SSFA1	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.917	-	Denoised score >= 0.75	-	BIOGRID	P55769	Q6FHM6	NP_001003796|NP_004999	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747534	4774	6651	110847	112534	RP5-902P15.1	HSPC310	NFIA	SON	CTF|NF-I/A|NF1-A|NFI-A|NFI-L	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.916	-	Denoised score >= 0.75	-	BIOGRID	Q12857	-	NP_001138983|NP_005586|NP_001128145|NP_001138984	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747544	27339	6651	118151	112534	-	HSPC310	PRPF19	SON	NMP200|PRP19|PSO4|SNEV|UBOX4|hPSO4	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.915	-	Denoised score >= 0.75	-	BIOGRID	Q9UMS4	-	NP_055317	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747646	10482	6651	115745	112534	-	HSPC310	NXF1	SON	MEX67|TAP	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.909	-	Denoised score >= 0.75	-	BIOGRID	Q9UBU9	Q59E96	NP_006353|NP_001074960	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747675	51639	6651	119651	112534	CGI-110	HSPC310	SF3B6	SON	HSPC175|Ht006|P14|SAP14|SAP14a|SF3B14|SF3B14a	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.908	-	Denoised score >= 0.75	-	BIOGRID	Q9Y3B4	-	NP_057131	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
747828	6421	6651	112319	112534	-	HSPC310	SFPQ	SON	POMP100|PPP1R140|PSF	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.9	-	Denoised score >= 0.75	-	BIOGRID	P23246	Q86VG2	NP_005057	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
748340	22827	6651	116502	112534	-	HSPC310	PUF60	SON	FIR|RoBPI|SIAHBP1|VRJS	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.877	-	Denoised score >= 0.75	-	BIOGRID	Q9UHX1	-	NP_001349826|NP_001349824|NP_001258029|NP_001258028|NP_001258027|NP_001258026|NP_001258025|NP_001349825|NP_001129505|NP_510965|NP_055096	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
748814	6280	6651	112188	112534	-	HSPC310	S100A9	SON	60B8AG|CAGB|CFAG|CGLB|L1AG|LIAG|MAC387|MIF|MRP14|NIF|P14	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.859	-	Denoised score >= 0.75	-	BIOGRID	P06702	-	NP_002956	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749228	6651	7307	112534	113157	HSPC310	-	SON	U2AF1	BASS1|C21orf50|DBP-5|NREBP|SON3	FP793|RN|RNU2AF1|U2AF35|U2AFBP	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.846	-	Denoised score >= 0.75	-	BIOGRID	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	Q01081	Q7Z780	NP_001020374|NP_001020375|NP_006749	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749253	8896	6651	114413	112534	-	HSPC310	BUD31	SON	Cwc14|EDG-2|EDG2|G10|YCR063W|fSAP17	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.845	-	Denoised score >= 0.75	-	BIOGRID	P41223	-	NP_003901|NP_001357336|NP_001357339	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749287	4670	6651	110751	112534	-	HSPC310	HNRNPM	SON	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.844	-	Denoised score >= 0.75	-	BIOGRID	P52272	Q59ES8	NP_112480|NP_001284347|NP_005959	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749297	50809	6651	119128	112534	RP5-930J4.3	HSPC310	HP1BP3	SON	HP1-BP74|HP1BP74	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.844	-	Denoised score >= 0.75	-	BIOGRID	Q5SSJ5	-	NP_001363721|NP_001363720|NP_001363723|NP_001363722|NP_001363725|NP_001363724|NP_001358981|NP_001363726|NP_057371|NP_001363716|NP_001363717|NP_001363718|NP_001363719	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749667	6651	23524	112534	117071	HSPC310	HSPC075	SON	SRRM2	BASS1|C21orf50|DBP-5|NREBP|SON3	300-KD|CWF21|Cwc21|SRL300|SRm300	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.834	-	Denoised score >= 0.75	-	BIOGRID	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	Q9UQ35	-	NP_057417	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749850	11168	6651	116339	112534	-	HSPC310	PSIP1	SON	DFS70|LEDGF|PAIP|PSIP2|p52|p75	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.83	-	Denoised score >= 0.75	-	BIOGRID	O75475	-	NP_150091|NP_066967|NP_001304827|NP_001304829|NP_001121689	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749904	5499	6651	111493	112534	-	HSPC310	PPP1CA	SON	PP-1A|PP1A|PP1alpha|PPP1A	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.828	-	Denoised score >= 0.75	-	BIOGRID	P62136	-	NP_001008709|NP_996756|NP_002699	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
749907	988	6651	107424	112534	RP1-319D22.1	HSPC310	CDC5L	SON	CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.828	-	Denoised score >= 0.75	-	BIOGRID	Q99459	-	NP_001244	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
750175	4735	6651	110812	112534	-	HSPC310	SEPT2	SON	DIFF6|NEDD-5|NEDD5|Pnutl3|hNedd5	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.823	-	Denoised score >= 0.75	-	BIOGRID	Q15019	-	NP_004395|NP_001336235|NP_006146|NP_001336234|NP_001307964|NP_001008491|NP_001307960|NP_001307963|NP_001008492|NP_001269901|NP_001269902|NP_001336220|NP_001336244|NP_001307962|NP_001336240|NP_001336241|NP_001336242|NP_001336243|NP_001307961|NP_001336239|NP_001336238|NP_001336231|NP_001336233|NP_001307958|NP_001307959|NP_001336237|NP_001336236|NP_001336217|NP_001336216|NP_001336219|NP_001336218	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
751095	131474	6651	126282	112534	-	HSPC310	CHCHD4	SON	MIA40|TIMM40	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.804	-	Denoised score >= 0.75	-	BIOGRID	Q8N4Q1	A0A024R2F8|A0A024R2I5	NP_001091972|NP_653237	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
752045	6651	29761	112534	118895	HSPC310	-	SON	USP25	BASS1|C21orf50|DBP-5|NREBP|SON3	USP21	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.787	-	Denoised score >= 0.75	-	BIOGRID	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	Q9UHP3	-	NP_037528|NP_001269971|NP_001269970|NP_001339489|NP_001339490	-	-	-	-	-	-	Homo sapiens	Homo sapiens
752056	6651	7035	112534	112893	HSPC310	-	SON	TFPI	BASS1|C21orf50|DBP-5|NREBP|SON3	EPI|LACI|TFI|TFPI1	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.787	-	Denoised score >= 0.75	-	BIOGRID	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	P10646	-	NP_006278|NP_001027452	-	-	-	-	-	-	Homo sapiens	Homo sapiens
752071	6432	6651	112330	112534	-	HSPC310	SRSF7	SON	9G8|AAG3|SFRS7	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.786	-	Denoised score >= 0.75	-	BIOGRID	Q16629	C9JAB2	NP_001182375|NP_001026854|NP_001350731	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
752672	3312	6651	109544	112534	-	HSPC310	HSPA8	SON	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.777	-	Denoised score >= 0.75	-	BIOGRID	P11142	V9HW22|Q53HF2	NP_694881|NP_006588	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
752797	6430	6651	112328	112534	-	HSPC310	SRSF5	SON	HRS|SFRS5|SRP40	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.775	-	Denoised score >= 0.75	-	BIOGRID	Q13243	Q86U32|A0A024R6D8	NP_001307143|NP_008856|NP_001034554	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753027	9295	6651	114709	112534	RP4-677H15.3	HSPC310	SRSF11	SON	NET2|SFRS11|dJ677H15.2|p54	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.772	-	Denoised score >= 0.75	-	BIOGRID	Q05519	-	NP_001337545|NP_001337535|NP_001337534|NP_001337537|NP_001337536|NP_001337539|NP_001337538|NP_001337544|NP_004759|NP_001337540|NP_001337541|NP_001337542|NP_001337543|NP_001177916	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753623	6598	6651	112482	112534	-	HSPC310	SMARCB1	SON	BAF47|INI1|MRD15|PPP1R144|RDT|RTPS1|SNF5|SNF5L1|SWNTS1|Sfh1p|Snr1|hSNFS	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.763	-	Denoised score >= 0.75	-	BIOGRID	Q12824	Q9H836	NP_001349806|NP_001304875|NP_001007469|NP_003064	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753740	11083	6651	116266	112534	RP5-885L7.1	HSPC310	DIDO1	SON	BYE1|C20orf158|DATF-1|DATF1|DIDO2|DIDO3|DIO-1|DIO1|dJ885L7.8	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.761	-	Denoised score >= 0.75	-	BIOGRID	Q9BTC0	-	NP_071388|NP_542986|NP_542987|NP_001180298|NP_001180299|NP_149072	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753861	22985	6651	116634	112534	-	HSPC310	ACIN1	SON	ACINUS|ACN|fSAP152	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.759	-	Denoised score >= 0.75	-	BIOGRID	Q9UKV3	B4DQZ7	NP_001373792|NP_001158286|NP_001158287|NP_055792|NP_001158288|NP_001158289	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
753938	6651	7726	112534	113515	HSPC310	DAAP-200B17.5	SON	TRIM26	BASS1|C21orf50|DBP-5|NREBP|SON3	AFP|RNF95|ZNF173	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.758	-	Denoised score >= 0.75	-	BIOGRID	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	Q12899	A0A024RCP3	NP_003440|NP_001229712	-	-	-	-	-	-	Homo sapiens	Homo sapiens
754078	5901	6651	111837	112534	OK/SW-cl.81	HSPC310	RAN	SON	ARA24|Gsp1|TC4	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.756	-	Denoised score >= 0.75	-	BIOGRID	P62826	B4DV51	NP_006316|NP_001287725|NP_001287726	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
754080	989	6651	107425	112534	-	HSPC310	SEPT7	SON	CDC10|CDC3|NBLA02942|SEPT7A	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.756	-	Denoised score >= 0.75	-	BIOGRID	Q16181	B4DNE4|A8K3D0	NP_001229885|NP_001011553|NP_001779|NP_001350644|NP_001362228	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
754099	91942	6651	124893	112534	-	HSPC310	NDUFAF2	SON	B17.2L|MMTN|NDUFA12L|mimitin	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.756	-	Denoised score >= 0.75	-	BIOGRID	Q8N183	-	NP_777549	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
754239	26227	6651	117618	112534	RP4-683H9.1	HSPC310	PHGDH	SON	3-PGDH|3PGDH|HEL-S-113|NLS|NLS1|PDG|PGAD|PGD|PGDH|PHGDHD|SERA	BASS1|C21orf50|DBP-5|NREBP|SON3	Co-fractionation	physical	Havugimana PC (2012)	PUBMED:22939629	9606	9606	High Throughput	0.754	-	Denoised score >= 0.75	-	BIOGRID	O43175	-	NP_006614	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
811308	4116	6651	110290	112534	RP5-1024G6.4	HSPC310	MAGOH	SON	MAGOH1|MAGOHA	BASS1|C21orf50|DBP-5|NREBP|SON3	Affinity Capture-MS	physical	Singh G (2012)	PUBMED:23084401	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P61326	-	NP_002361	P18583	J3QSZ5|Q6ZRV7	NP_001278340|NP_115571|NP_620305|NP_001278341	-	-	-	-	-	-	Homo sapiens	Homo sapiens
